Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
"1-Bedroom Unit (N16E1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","12,196,800",1,1,57,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n16e1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (S60C2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","13,209,600",1,1,52,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s60c2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1BR Condo Unit for Sale in Seville Residences at Circulo Verde, Bagumbayan, Quezon Ci...","Bagumbayan, Quezon City","10,097,000",1,1,51,na,14.605396,121.081903,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-seville-residences-at-circulo-verde-bagumbayan-quezon-city-unit-1a.html
"2-Bedroom Unit (56G) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","40,006,000",2,2,110,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-56g-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (N31E2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,188,800",1,1,52,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n31e2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (N39G2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,144,000",1,1,44,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n39g2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1421) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,297,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1421-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (N54E2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","12,835,200",1,1,49,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n54e2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (41K) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","28,366,000",1,1,69,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-41k-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig-1.html
"Serviced Residence Studio Unit for Sale in Cerise Tower, Southwoods City, Binan","San Francisco, Binan","6,200,000",1,1,24,na,14.3336384,121.0555577,https://www.lamudi.com.ph/serviced-residence-studio-unit-for-sale-in-cerise-tower-southwoods-city-binan-1.html
"Serviced Residence 2-Bedroom Unit for Sale in Cerise Tower, Southwoods City","San Francisco, Binan","18,500,000",2,2,79,na,14.3336384,121.0555577,https://www.lamudi.com.ph/serviced-residence-2-bedroom-unit-for-sale-in-cerise-tower-southwoods-city.html
"Studio Condo Unit (20D) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,699,883",1,1,31,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-20d-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"Condominium with 1 bedroom for Sale in One Lakeshore Drive, San Antonio, Davao","San Antonio, Davao","7,320,000",1,2,50,na,7.095857,125.630475,https://www.lamudi.com.ph/condominium-with-1-bedroom-for-sale-in-one-lakeshore-drive-san-antonio-davao-3.html
"1BR Condo Unit for Sale in Seville Residences at Circulo Verde, Bagumbayan, Quezon Ci...","Bagumbayan, Quezon City","8,990,000",1,1,51,na,14.605396,121.081903,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-seville-residences-at-circulo-verde-bagumbayan-quezon-city-unit-17a.html
"1-Bedroom Unit (43F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,557,000",1,1,66,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-43f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (41B) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","33,871,000",2,2,106,na,14.575421,121.063867,https://www.lamudi.com.ph/2-bedroom-unit-41b-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Condo Unit (10J) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong","11,932,768",1,1,57,na,14.578255,121.052143,https://www.lamudi.com.ph/1-bedroom-condo-unit-10j-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"7,000 sqm Industrial Lot for Sale in Laguindingan Technopark, Misamis Oriental","Moog, Laguindingan","38,500,000",na,na,na,7000,8.609045,124.468733,https://www.lamudi.com.ph/7-000-sqm-industrial-lot-for-sale-in-laguindingan-technopark-misamis-oriental.html
"2-Bedroom Unit (3711) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,686,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3711-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (N34G2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,144,000",1,1,44,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n34g2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (S62G) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","17,912,600",2,2,74,na,14.583771,121.059675,https://www.lamudi.com.ph/2-bedroom-unit-s62g-for-sale-in-maven-at-capitol-commons-pasig-city.html
"Offices at The Galleon - Prime Unit (26F) for Sale in Ortigas, Pasig","San Antonio, Pasig","37,825,000",na,na,108,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-26f-for-sale-in-ortigas-pasig.html
"1-Bedroom Unit (1126) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,052,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1126-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Suntrust Shanata, 2-Bedroom (Unit J) for Sale in Novaliches, Quezon City","Novaliches, Quezon City","6,363,100",2,1,35,na,14.68155,121.0198,https://www.lamudi.com.ph/suntrust-shanata-2-bedroom-unit-j-for-sale-in-novaliches-quezon-city.html
"1-Bedroom Unit (N52C1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","14,474,200",1,1,59,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n52c1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (3511) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,686,000",2,1,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3511-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom Unit (37B) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","33,574,000",2,2,106,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-37b-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Studio Condo Unit (27B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,419,580",1,1,32,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-27b-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"1-Bedroom Unit (N37E1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","12,488,000",1,1,58,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n37e1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (N16E1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","12,196,800",1,1,57,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n16e1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (S55C1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,345,600",1,1,48,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s55c1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (N36G2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,144,000",1,1,44,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n36g2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (S60C2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","13,209,600",1,1,52,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s60c2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"Condo Dormitory (Unit 101-12) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu","2,810,000",1,1,24,na,10.3058395,123.8908567,https://www.lamudi.com.ph/condo-dormitory-unit-101-12-for-sale-in-uniplace-swu-village-cebu-city.html
"1-Bedroom Unit (S19D1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","10,752,000",1,1,46,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s19d1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"Offices at The Galleon - Prime Suite (22H) for Sale in Ortigas, Pasig","San Antonio, Pasig","40,953,000",na,na,115,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-suite-22h-for-sale-in-ortigas-pasig.html
"2-Bedroom Unit (9O) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","31,821,000",2,2,104,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-9o-for-sale-in-empress-at-capitol-commons-pasig-city.html
3-Storey 4BR House and Lot for Sale in The Villas at Dasmarinas Highlands,"San Agustin I, Dasmarinas","8,473,000",4,na,155,66,14.304975,120.944111,https://www.lamudi.com.ph/3-storey-4br-house-and-lot-for-sale-in-the-villas-at-dasmarinas-highlands.html
"1BR Condo Unit for Sale in Seville Residences at Circulo Verde, Bagumbayan, Quezon Ci...","Bagumbayan, Quezon City","8,990,000",1,1,51,na,14.605396,121.081903,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-seville-residences-at-circulo-verde-bagumbayan-quezon-city-unit-17a.html
"1-Bedroom Unit (S30D1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,020,800",1,1,47,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s30d1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (41B) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","33,871,000",2,2,106,na,14.575421,121.063867,https://www.lamudi.com.ph/2-bedroom-unit-41b-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Condominium with 1 bedroom for Sale in One Lakeshore Drive, San Antonio, Davao","San Antonio, Davao","7,320,000",1,2,50,na,7.095857,125.630475,https://www.lamudi.com.ph/condominium-with-1-bedroom-for-sale-in-one-lakeshore-drive-san-antonio-davao-3.html
"1-Bedroom Unit (43F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","22,557,000",1,1,66,na,14.575822,121.064324,https://www.lamudi.com.ph/1-bedroom-unit-43f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Serviced Residence 2-Bedroom Unit for Sale in Cerise Tower, Southwoods City","San Francisco, Binan","18,500,000",2,2,79,na,14.3336384,121.0555577,https://www.lamudi.com.ph/serviced-residence-2-bedroom-unit-for-sale-in-cerise-tower-southwoods-city.html
"Serviced Residence Studio Unit for Sale in Cerise Tower, Southwoods City, Binan","San Francisco, Binan","6,200,000",1,1,24,na,14.3336384,121.0555577,https://www.lamudi.com.ph/serviced-residence-studio-unit-for-sale-in-cerise-tower-southwoods-city-binan-1.html
"2-Bedroom Unit (19E) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","42,048,000",2,2,114,na,14.588377,121.059897,https://www.lamudi.com.ph/2-bedroom-unit-19e-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"2-Bedroom Unit (20B) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","31,569,000",2,2,104,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-20b-for-sale-in-empress-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (3411) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,579,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3411-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Condo Unit (5E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","8,569,389",1,1,37,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-5e-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"2-Bedroom Unit (2701) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","27,298,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-2701-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (41K) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","28,366,000",1,1,69,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-41k-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig-1.html
"1BR Condo Unit for Sale in Seville Residences at Circulo Verde, Bagumbayan, Quezon Ci...","Bagumbayan, Quezon City","10,097,000",1,1,51,na,14.605396,121.081903,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-seville-residences-at-circulo-verde-bagumbayan-quezon-city-unit-1a.html
"1-Bedroom Unit (N54E2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","12,835,200",1,1,49,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n54e2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (56G) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","40,006,000",2,2,110,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-56g-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (N31E2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,188,800",1,1,52,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n31e2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (N39G2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,144,000",1,1,44,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n39g2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (32D) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","26,951,000",1,1,70,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-32d-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"2-Bedroom Unit (58D) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","42,394,000",2,2,116,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-58d-for-sale-in-empress-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (1421) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","15,297,000",1,na,56,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-1421-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (N27E2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,166,400",1,1,52,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n27e2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (S21D2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,300,800",1,1,52,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s21d2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"Studio Condo Unit (20D) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,699,883",1,1,31,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-20d-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa","28,903,000",3,na,250,93,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-unit-facing-clubhouse-2.html
"Studio (3019) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","8,746,000",1,na,35,na,14.588882,121.079016,https://www.lamudi.com.ph/studio-3019-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Suntrust Capitol Plaza - 2-Bedroom Unit for Sale in Diliman, Quezon City","Diliman, Quezon City","10,100,000",2,2,68,na,14.644874,121.050593,https://www.lamudi.com.ph/suntrust-capitol-plaza-2-bedroom-unit-for-sale-in-diliman-quezon-city.html
1BR with Patio (30 sqm) for Sale in Moldex Residences Silang Cavite near Tagaytay,"Biluso, Silang",na,1,1,30,na,14.247941,120.952854,https://www.lamudi.com.ph/1br-with-patio-30-sqm-for-sale-in-moldex-residences-silang-cavite-near-tagaytay.html
"Offices at The Galleon - Prime Unit (23I) for Sale in Ortigas, Pasig","San Antonio, Pasig","32,037,000",na,na,93,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-23i-for-sale-in-ortigas-pasig.html
"2-Bedroom Garden Unit (137 sqm) for Sale in Maple at Verdant Towers, Ortigas, Pasig C...","Ugong, Pasig","46,903,000",2,1,137,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-garden-unit-137-sqm-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"8,000 sqm Industrial Lot for Sale in Pampanga Technopark - Mabalacat, Pampanga","Tabun, Mabalacat","92,000,000",na,na,na,8000,15.25276,120.594401,https://www.lamudi.com.ph/8-000-sqm-industrial-lot-for-sale-in-pampanga-technopark-mabalacat-pampanga.html
"1-Bedroom Unit (4010) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","16,242,000",1,na,58,na,14.588882,121.079016,https://www.lamudi.com.ph/1-bedroom-unit-4010-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (29I) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","26,777,000",1,1,70,na,14.588377,121.059897,https://www.lamudi.com.ph/1-bedroom-unit-29i-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa","25,296,000",3,na,250,92,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-end-unit.html
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa","25,496,000",3,na,250,92,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-3-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-typical-end-unit-2.html
"2-Bedroom Unit (3012) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,471,000",2,1,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3012-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Studio Condo Unit (6E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","8,360,751",1,1,33,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-6e-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"Studio Condo Unit (5G) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","8,237,774",1,1,36,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-5g-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"1-Bedroom Condo Unit (10J) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong","11,932,768",1,1,57,na,14.578255,121.052143,https://www.lamudi.com.ph/1-bedroom-condo-unit-10j-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"Offices at The Galleon - Prime Suite (20H) for Sale in Ortigas, Pasig","San Antonio, Pasig","40,650,000",na,na,115,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-suite-20h-for-sale-in-ortigas-pasig.html
"Offices at The Galleon - Prime Unit (34J) for Sale in Ortigas, Pasig","San Antonio, Pasig","32,795,000",na,na,93,na,14.582707,121.061458,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-34j-for-sale-in-ortigas-pasig.html
Suntrust Kirana - 2-Bedroom Unit for Sale in Pasig City,"Pinagbuhatan, Pasig","5,008,864",2,1,37,na,14.555535,121.090095,https://www.lamudi.com.ph/suntrust-kirana-2-bedroom-unit-for-sale-in-pasig-city.html
"1-Bedroom Unit (N17G2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","10,998,400",1,1,44,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n17g2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (3711) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,686,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3711-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"The Glades at Timberland Heights - Corner Lot for Sale in San Mateo, Blk8 Lot7 (for a...","Malanday, San Mateo",na,na,na,na,269,14.7035,121.137281,https://www.lamudi.com.ph/the-glades-at-timberland-heights-corner-lot-for-sale-in-san-mateo-blk8-lot7-for-as-low-as-php-33-000-monthly.html
"1-Bedroom Unit (N15E1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","12,196,800",1,1,57,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n15e1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (N34G2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,144,000",1,1,44,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n34g2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"Offices at The Galleon - Prime Unit (23I) for Sale in Ortigas, Pasig","San Antonio, Pasig","32,037,000",na,na,93,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-23i-for-sale-in-ortigas-pasig.html
"Studio Condo Unit (28I) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,091,280",1,1,32,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-28i-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"Offices at The Galleon - Prime Unit (14M) for Sale in Ortigas, Pasig","San Antonio, Pasig","31,357,000",na,na,93,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-14m-for-sale-in-ortigas-pasig.html
"Offices at The Galleon - Prime Unit (16F) for Sale in Ortigas, Pasig","San Antonio, Pasig","36,903,000",na,na,108,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-16f-for-sale-in-ortigas-pasig.html
"2-Bedroom Unit (3611) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,686,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3611-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Suntrust Capitol Plaza - 2-Bedroom Unit for Sale in Diliman, Quezon City","Diliman, Quezon City","10,100,000",2,2,68,na,14.644874,121.050593,https://www.lamudi.com.ph/suntrust-capitol-plaza-2-bedroom-unit-for-sale-in-diliman-quezon-city.html
"Studio (3019) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","8,746,000",1,na,35,na,14.588882,121.079016,https://www.lamudi.com.ph/studio-3019-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Bella, NRFO/B...","Longos, Malolos","5,013,000",2,na,53,88,14.8743986,120.7973062,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-provence-in-malolos-city-bulacan-bella-nrfo-bts.html
"3-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Cara wCB, NRF...","Longos, Malolos","6,088,000",3,na,66,99,14.8743986,120.7973062,https://www.lamudi.com.ph/3-bedroom-house-for-sale-at-camella-provence-in-malolos-city-bulacan-cara-wcb-nrfo-rfo.html
"1-Bedroom Unit (S18D2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,334,400",1,1,52,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s18d2-for-sale-in-maven-at-capitol-commons-pasig-city.html
"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Bella...","Sapang Palay, San Jose del Monte","4,516,000",2,na,53,88,14.8450503,121.0612785,https://www.lamudi.com.ph/2-bedroom-house-for-sale-at-camella-monticello-in-san-jose-del-monte-bulacan-bella-nrfo.html
"2-Bedroom Garden Unit (164 sqm) for Sale in Maple at Verdant Towers, Ortigas, Pasig C...","Ugong, Pasig","56,507,000",2,1,164,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-garden-unit-164-sqm-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"2-Bedroom Unit for Sale in 88 Gibraltar Tower 1, Gibraltar, Baguio","Gibraltar, Baguio","9,046,000",2,1,44,na,16.419598,120.626852,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-88-gibraltar-tower-1-gibraltar-baguio.html
"3-Bedroom Unit (N09E) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","24,586,800",3,2,102,na,14.583771,121.059675,https://www.lamudi.com.ph/3-bedroom-unit-n09e-for-sale-in-maven-at-capitol-commons-pasig-city.html
"2-Bedroom Unit (3918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","27,298,000",2,1,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-3918-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Condominium with 1 bedroom for Sale in One Lakeshore Drive, San Antonio, Davao","San Antonio, Davao","7,320,000",1,2,50,na,7.095857,125.630475,https://www.lamudi.com.ph/condominium-with-1-bedroom-for-sale-in-one-lakeshore-drive-san-antonio-davao-1.html
"Offices at The Galleon - Prime Unit (23J) for Sale in Ortigas, Pasig","San Antonio, Pasig","31,892,000",na,na,93,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-23j-for-sale-in-ortigas-pasig.html
